Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.0727707,0,0.111504,8.15404e-06,0.115926,0,1.23285,0.0010195,0.0183247,0,0.0876581,8.06455e-06,, , 0.0678234,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013492,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.06455e-06,0.0585562
2,15.1235,15.181,11.3421,0.0104305,0.500807,0.504558,3.47523,0.000855298,3.68276,3.74027,9.61556,0.010117,0.174982,0.178732,2.60678,5.29944e-05,, , 0.530409,6.59864,0.293982,15.1163,9.97854,9.61556,0.010117,0.0155217,0.20561,0.129148,0.0189553,0.00853657,0.640836,2.60678,5.29944e-05,0.920125
3,4.20619,4.23129,7.27507,0.0210373,0.173633,0.175214,2.84225,0.00146072,0.892002,0.917107,6.4169,0.0204103,0.0699902,0.0715711,1.11272,0.000180743,, , 0.231305,1.44982,0.127988,5.23262,3.22802,6.4169,0.0204103,0.0293457,0.0915241,0.0417726,0.0082646,0.00755516,0.204585,1.11272,0.000180743,1.73961
4,6.17908,6.23576,7.76721,0.0429623,0.278278,0.281877,5.63443,0.00073362,1.10509,1.16177,6.41639,0.0417083,0.135768,0.139367,2.17641,0.000176018,, , 0.46912,1.54823,0.249511,8.74862,4.69842,6.41639,0.0417083,0.0584488,0.182538,0.0761984,0.0163982,0.0118465,0.284231,2.17641,0.000176018,3.46485
5,1.53215,1.55301,7.03825,0.0688737,0.087946,0.0891263,7.70087,0.000208145,0.276447,0.297304,5.50243,0.0663656,0.0483901,0.0495703,0.787032,7.45253e-05,, , 0.174993,0.307138,0.0916197,6.2831,1.66068,5.50243,0.0663656,0.116473,0.0678862,0.024022,0.00605208,0.017688,0.0855392,0.787032,7.45253e-05,6.90454
6,2.44481,2.48883,8.44021,0.158654,0.150478,0.15325,15.3482,0.000713882,0.448078,0.492106,5.50284,0.153638,0.0964693,0.0992414,1.52082,0.000595693,, , 0.349666,0.409594,0.180924,11.9572,2.76674,5.50284,0.153638,0.232886,0.136929,0.0467762,0.0120059,0.0313899,0.125166,1.52082,0.000595693,13.8055
7,0.470073,0.471215,9.57556,0.297102,0.0297496,0.0300651,49.3662,0.000259094,0.385835,0.386977,0.0130683,0.280017,0.0164239,0.0167394,0.203443,4.18692e-05,, , 0.0100299,0.757676,0.00510665,12.0326,0.287429,0.0130683,0.280017,0.827824,0.0136513,0.0183357,0.00117629,0.107445,0.0520212,0.203443,4.18692e-05,49.0734
8,0.0286215,0.028758,0.0180392,0.000705554,0.00053915,0.000545258,0.0602466,3.48096e-07,0.00198552,0.00212202,0.00206832,0.000684699,8.72971e-05,9.3405e-05,0.000227484,8.29297e-08,, , 0.00127383,0.00218914,0.000644581,0.0803593,0.0212412,0.00206832,0.000684699,0.00101147,7.34906e-05,8.89254e-05,1.82861e-05,0.000321226,0.00074128,0.000227484,8.29297e-08,0.0599602
Total,37.9458,30.1898,53.274,0.600792,1.2942,1.23463,84.5389,0.00423926,6.90813,6.99765,34.7021,0.57396,0.560435,0.555314,8.4951,0.00112999,, , 1.83462,11.0806,0.990543,66.3248,24.208,34.7021,0.57396,1.2825,0.711704,0.339823,0.064222,0.186405,1.4432,8.4951,0.00112999,76.0265

