Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.0727704,0,0.111504,5.1022e-06,0.115924,0,1.23285,0.0010195,0.0183245,0,0.0876581,5.01271e-06,, , 0.0678217,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134918,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.01271e-06,0.0585562
2,15.1237,15.1812,11.3421,0.0107618,0.499959,0.50368,3.47523,0.00204026,3.68296,3.74046,9.61562,0.0104482,0.174133,0.177855,2.60678,0.000127054,, , 0.530803,6.59864,0.293982,15.1163,9.97854,9.61562,0.0104482,0.0155217,0.203879,0.129148,0.0189613,0.00853657,0.640836,2.60678,0.000127054,0.920125
3,4.20681,4.23192,7.27529,0.0220732,0.173939,0.175466,2.85432,0.00115713,0.892627,0.917732,6.41712,0.0214462,0.070296,0.0718237,1.12479,0.000142794,, , 0.232554,1.44982,0.127988,5.23262,3.22802,6.41712,0.0214462,0.0293457,0.0920715,0.0417726,0.00827563,0.00755516,0.204585,1.12479,0.000142794,1.73961
4,6.17967,6.23634,7.76689,0.0413187,0.27939,0.283143,5.61028,0.000768745,1.10568,1.16235,6.41608,0.0400647,0.13688,0.140633,2.15227,0.000184799,, , 0.47029,1.54823,0.249511,8.74862,4.69842,6.41608,0.0400647,0.0584488,0.184948,0.0761984,0.0163663,0.0118465,0.284231,2.15227,0.000184799,3.46485
5,1.53137,1.55222,7.03752,0.07766,0.0880093,0.0893704,7.67425,0.000462745,0.275662,0.296519,5.5017,0.0751519,0.0484533,0.0498145,0.760414,0.000201825,, , 0.173423,0.307138,0.0916197,6.2831,1.66068,5.5017,0.0751519,0.116473,0.0682311,0.024022,0.00601467,0.017688,0.0855392,0.760414,0.000201825,6.90454
6,2.44668,2.49071,8.43956,0.139673,0.150919,0.154015,15.3127,0.00021119,0.449955,0.493983,5.50219,0.134656,0.0969098,0.100006,1.48531,9.3001e-05,, , 0.35342,0.409594,0.180924,11.9572,2.76674,5.50219,0.134656,0.232886,0.1382,0.0467762,0.0119389,0.0313899,0.125166,1.48531,9.3001e-05,13.8055
7,0.470079,0.471221,9.57544,0.256204,0.0296287,0.0299759,49.3592,0.00024738,0.385841,0.386983,0.0129403,0.23912,0.016303,0.0166501,0.196433,3.01553e-05,, , 0.0100406,0.757676,0.00510665,12.0326,0.287429,0.0129403,0.23912,0.827824,0.0134477,0.0183357,0.00116975,0.107445,0.0520212,0.196433,3.01553e-05,49.0734
8,0.0286208,0.0287573,0.018031,0.000672673,0.000539207,0.000545347,0.0602445,3.46708e-07,0.00198483,0.00212133,0.00206009,0.000651818,8.73538e-05,9.34935e-05,0.00022534,8.15412e-08,, , 0.00127244,0.00218914,0.000644581,0.0803593,0.0212412,0.00206009,0.000651818,0.00101147,7.36424e-05,8.89254e-05,1.82795e-05,0.000321226,0.00074128,0.00022534,8.15412e-08,0.0599602
Total,37.9483,30.1924,53.2724,0.54939,1.29515,1.2362,84.4577,0.00489289,6.91063,7.00015,34.7006,0.522558,0.561387,0.556875,8.41387,0.000784724,, , 1.83962,11.0806,0.990543,66.3248,24.208,34.7006,0.522558,1.2825,0.714343,0.339823,0.0640962,0.186405,1.4432,8.41387,0.000784724,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11952,0.00819925,1.51212,19.3457,0.0203525,3.75345
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.0727704,0,0.111504,5.1022e-06,0.115924,0,1.23285,0.0010195,0.0183245,0,0.0876581,5.01271e-06,, , 0.0678217,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134918,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.01271e-06,0.0585562
2,15.1237,15.1812,11.3421,0.0107618,0.499959,0.50368,3.47523,0.00204026,3.68296,3.74046,9.61562,0.0104482,0.174133,0.177855,2.60678,0.000127054,, , 0.530803,6.59864,0.293982,15.1163,9.97854,9.61562,0.0104482,0.0155217,0.203879,0.129148,0.0189613,0.00853657,0.640836,2.60678,0.000127054,0.920125
3,4.20681,4.23192,7.27529,0.0220732,0.173939,0.175466,2.85432,0.00115713,0.892627,0.917732,6.41712,0.0214462,0.070296,0.0718237,1.12479,0.000142794,, , 0.232554,1.44982,0.127988,5.23262,3.22802,6.41712,0.0214462,0.0293457,0.0920715,0.0417726,0.00827563,0.00755516,0.204585,1.12479,0.000142794,1.73961
4,6.17967,6.23634,7.76689,0.0413187,0.27939,0.283143,5.61028,0.000768745,1.10568,1.16235,6.41608,0.0400647,0.13688,0.140633,2.15227,0.000184799,, , 0.47029,1.54823,0.249511,8.74862,4.69842,6.41608,0.0400647,0.0584488,0.184948,0.0761984,0.0163663,0.0118465,0.284231,2.15227,0.000184799,3.46485
5,1.53137,1.55222,7.03752,0.07766,0.0880093,0.0893704,7.67425,0.000462745,0.275662,0.296519,5.5017,0.0751519,0.0484533,0.0498145,0.760414,0.000201825,, , 0.173423,0.307138,0.0916197,6.2831,1.66068,5.5017,0.0751519,0.116473,0.0682311,0.024022,0.00601467,0.017688,0.0855392,0.760414,0.000201825,6.90454
6,2.44668,2.49071,8.43956,0.139673,0.150919,0.154015,15.3127,0.00021119,0.449955,0.493983,5.50219,0.134656,0.0969098,0.100006,1.48531,9.3001e-05,, , 0.35342,0.409594,0.180924,11.9572,2.76674,5.50219,0.134656,0.232886,0.1382,0.0467762,0.0119389,0.0313899,0.125166,1.48531,9.3001e-05,13.8055
7,0.470079,0.471221,9.57544,0.256204,0.0296287,0.0299759,49.3592,0.00024738,0.385841,0.386983,0.0129403,0.23912,0.016303,0.0166501,0.196433,3.01553e-05,, , 0.0100406,0.757676,0.00510665,12.0326,0.287429,0.0129403,0.23912,0.827824,0.0134477,0.0183357,0.00116975,0.107445,0.0520212,0.196433,3.01553e-05,49.0734
8,0.0286208,0.0287573,0.018031,0.000672673,0.000539207,0.000545347,0.0602445,3.46708e-07,0.00198483,0.00212133,0.00206009,0.000651818,8.73538e-05,9.34935e-05,0.00022534,8.15412e-08,, , 0.00127244,0.00218914,0.000644581,0.0803593,0.0212412,0.00206009,0.000651818,0.00101147,7.36424e-05,8.89254e-05,1.82795e-05,0.000321226,0.00074128,0.00022534,8.15412e-08,0.0599602
Total,37.9483,30.1924,53.2724,0.54939,1.29515,1.2362,84.4577,0.00489289,6.91063,7.00015,34.7006,0.522558,0.561387,0.556875,8.41387,0.000784724,, , 1.83962,11.0806,0.990543,66.3248,24.208,34.7006,0.522558,1.2825,0.714343,0.339823,0.0640962,0.186405,1.4432,8.41387,0.000784724,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11952,0.00819925,1.51212,19.3457,0.0203525,3.75345
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96368,0,1.81515,-11661.7,0.0887821,0,0.106323,3.38964e+291,0.118233,0,1.23048,-11661.7,0.0343362,0,0.0824774,3.38964e+291,, , 0.0701302,0.00733546,0.0407669,6.87397,1.56697,1.23048,-11661.7,0.000987789,0.029539,0.00348139,0.00131584,0.00162304,0.0500789,0.0824774,3.38964e+291,0.0585562
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96386,0,1.81515,-11661.7,0.0863553,0,0.106323,3.17431e+248,0.118415,0,1.23048,-11661.7,0.0319094,0,0.0824774,3.17431e+248,, , 0.0703123,0.00733546,0.0407669,6.87397,1.56697,1.23048,-11661.7,0.000987789,0.0271122,0.00348139,0.00131584,0.00162304,0.0500789,0.0824774,3.17431e+248,0.0585562
