Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96133,0,1.81752,0.00102654,0.0727618,0,0.111504,7.12315e-06,0.115879,0,1.23285,0.0010195,0.0183159,0,0.0876581,7.03366e-06,, , 0.0677765,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134832,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.03366e-06,0.0585562
2,15.124,15.1815,11.3419,0.00965721,0.500087,0.503929,3.47521,0.000356555,3.68331,3.74082,9.61538,0.00934369,0.174262,0.178103,2.60676,2.1823e-05,, , 0.531511,6.59864,0.293982,15.1163,9.97854,9.61538,0.00934369,0.0155217,0.20428,0.129148,0.0189364,0.00853657,0.640836,2.60676,2.1823e-05,0.920125
3,4.20606,4.23116,7.27458,0.0178026,0.17171,0.173413,2.83018,0.000158029,0.891873,0.916978,6.41641,0.0171756,0.0680675,0.0697704,1.10065,1.7907e-05,, , 0.231046,1.44982,0.127988,5.23262,3.22802,6.41641,0.0171756,0.0293457,0.087826,0.0417726,0.00823938,0.00755516,0.204585,1.10065,1.7907e-05,1.73961
4,6.17675,6.23343,7.7677,0.0371048,0.273674,0.277028,5.6827,0.000247356,1.10276,1.15944,6.41689,0.0358507,0.131164,0.134518,2.22468,5.44521e-05,, , 0.464462,1.54823,0.249511,8.74862,4.69842,6.41689,0.0358507,0.0584488,0.173035,0.0761984,0.016449,0.0118465,0.284231,2.22468,5.44521e-05,3.46485
5,1.53048,1.55133,7.03835,0.0572992,0.0880072,0.0891646,7.70087,0.000109382,0.274773,0.295629,5.50252,0.0547911,0.0484513,0.0496086,0.787034,2.51438e-05,, , 0.171644,0.307138,0.0916197,6.2831,1.66068,5.50252,0.0547911,0.116473,0.0679811,0.024022,0.00605682,0.017688,0.0855392,0.787034,2.51438e-05,6.90454
6,2.44465,2.48868,8.44064,0.136907,0.150275,0.152837,15.3837,0.000248526,0.44792,0.491948,5.50326,0.13189,0.0962658,0.0988281,1.55632,0.000130337,, , 0.34935,0.409594,0.180924,11.9572,2.76674,5.50326,0.13189,0.232886,0.136268,0.0467762,0.0120493,0.0313899,0.125166,1.55632,0.000130337,13.8055
7,0.469961,0.471103,9.57564,0.223706,0.0296346,0.029931,49.3697,0.000243619,0.385723,0.386865,0.0131455,0.206621,0.0163089,0.0166053,0.206947,2.63948e-05,, , 0.00980522,0.757676,0.00510665,12.0326,0.287429,0.0131455,0.206621,0.827824,0.0133982,0.0183357,0.00118024,0.107445,0.0520212,0.206947,2.63948e-05,49.0734
8,0.0286163,0.0287528,0.018037,0.000447156,0.000539023,0.00054514,0.0602466,3.19156e-07,0.00198026,0.00211676,0.00206613,0.0004263,8.71703e-05,9.32867e-05,0.000227483,5.39897e-08,, , 0.00126331,0.00218914,0.000644581,0.0803593,0.0212412,0.00206613,0.0004263,0.00101147,7.32472e-05,8.89254e-05,1.82844e-05,0.000321226,0.00074128,0.000227483,5.39897e-08,0.0599602
Total,37.9419,30.186,53.2744,0.48395,1.28669,1.22685,84.6141,0.00137091,6.90422,6.99379,34.7025,0.457119,0.552922,0.547526,8.57028,0.000283146,, , 1.82686,11.0806,0.990543,66.3248,24.208,34.7025,0.457119,1.2825,0.696345,0.339823,0.0642808,0.186405,1.4432,8.57028,0.000283146,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11624,0.00820438,1.51306,19.0695,0.0203842,3.75928
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96133,0,1.81752,0.00102654,0.0727618,0,0.111504,7.12315e-06,0.115879,0,1.23285,0.0010195,0.0183159,0,0.0876581,7.03366e-06,, , 0.0677765,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134832,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.03366e-06,0.0585562
2,15.124,15.1815,11.3419,0.00965721,0.500087,0.503929,3.47521,0.000356555,3.68331,3.74082,9.61538,0.00934369,0.174262,0.178103,2.60676,2.1823e-05,, , 0.531511,6.59864,0.293982,15.1163,9.97854,9.61538,0.00934369,0.0155217,0.20428,0.129148,0.0189364,0.00853657,0.640836,2.60676,2.1823e-05,0.920125
3,4.20606,4.23116,7.27458,0.0178026,0.17171,0.173413,2.83018,0.000158029,0.891873,0.916978,6.41641,0.0171756,0.0680675,0.0697704,1.10065,1.7907e-05,, , 0.231046,1.44982,0.127988,5.23262,3.22802,6.41641,0.0171756,0.0293457,0.087826,0.0417726,0.00823938,0.00755516,0.204585,1.10065,1.7907e-05,1.73961
4,6.17675,6.23343,7.7677,0.0371048,0.273674,0.277028,5.6827,0.000247356,1.10276,1.15944,6.41689,0.0358507,0.131164,0.134518,2.22468,5.44521e-05,, , 0.464462,1.54823,0.249511,8.74862,4.69842,6.41689,0.0358507,0.0584488,0.173035,0.0761984,0.016449,0.0118465,0.284231,2.22468,5.44521e-05,3.46485
5,1.53048,1.55133,7.03835,0.0572992,0.0880072,0.0891646,7.70087,0.000109382,0.274773,0.295629,5.50252,0.0547911,0.0484513,0.0496086,0.787034,2.51438e-05,, , 0.171644,0.307138,0.0916197,6.2831,1.66068,5.50252,0.0547911,0.116473,0.0679811,0.024022,0.00605682,0.017688,0.0855392,0.787034,2.51438e-05,6.90454
