Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727643,0,0.111504,6.80285e-06,0.115896,0,1.23285,0.0010195,0.0183184,0,0.0876581,6.71335e-06,, , 0.067794,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134857,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.71335e-06,0.0585562
2,15.1245,15.182,11.3421,0.0108116,0.500709,0.504446,3.47523,0.00105909,3.68381,3.74131,9.61559,0.0104981,0.174883,0.17862,2.60678,6.57317e-05,, , 0.532504,6.59864,0.293982,15.1163,9.97854,9.61559,0.0104981,0.0155217,0.205398,0.129148,0.018958,0.00853657,0.640836,2.60678,6.57317e-05,0.920125
3,4.20636,4.23146,7.27466,0.0209228,0.173062,0.174744,2.83018,0.00106298,0.892172,0.917277,6.41649,0.0202958,0.0694198,0.0711019,1.10065,0.000131025,, , 0.231645,1.44982,0.127988,5.23262,3.22802,6.41649,0.0202958,0.0293457,0.0905054,0.0417726,0.00824368,0.00755516,0.204585,1.10065,0.000131025,1.73961
4,6.17594,6.23261,7.76769,0.0419348,0.276134,0.279494,5.6827,0.000873972,1.10195,1.15862,6.41687,0.0406807,0.133624,0.136983,2.22468,0.000211106,, , 0.46283,1.54823,0.249511,8.74862,4.69842,6.41687,0.0406807,0.0584488,0.177961,0.0761984,0.0164477,0.0118465,0.284231,2.22468,0.000211106,3.46485
5,1.53024,1.55109,7.03858,0.0691521,0.0879814,0.0890821,7.70974,0.000210796,0.274534,0.29539,5.50275,0.066644,0.0484255,0.0495261,0.795903,7.58508e-05,, , 0.171166,0.307138,0.0916197,6.2831,1.66068,5.50275,0.066644,0.116473,0.067861,0.024022,0.00606855,0.017688,0.0855392,0.795903,7.58508e-05,6.90454
6,2.44454,2.48856,8.44048,0.148905,0.150361,0.153,15.366,0.000421793,0.447807,0.491835,5.50311,0.143888,0.096352,0.0989912,1.53857,0.000303604,, , 0.349123,0.409594,0.180924,11.9572,2.76674,5.50311,0.143888,0.232886,0.136534,0.0467762,0.0120334,0.0313899,0.125166,1.53857,0.000303604,13.8055
7,0.470036,0.471178,9.57564,0.24556,0.0297217,0.0300184,49.3697,0.000249245,0.385798,0.38694,0.0131443,0.228476,0.016396,0.0166927,0.206947,3.2021e-05,, , 0.00995578,0.757676,0.00510665,12.0326,0.287429,0.0131443,0.228476,0.827824,0.0135729,0.0183357,0.00118017,0.107445,0.0520212,0.206947,3.2021e-05,49.0734
8,0.0286207,0.0287572,0.0180222,0.000569289,0.000539074,0.000545248,0.0602445,3.27238e-07,0.00198467,0.00212117,0.0020513,0.000548433,8.72209e-05,9.33945e-05,0.000225339,6.20712e-08,, , 0.00127212,0.00218914,0.000644581,0.0803593,0.0212412,0.0020513,0.000548433,0.00101147,7.34175e-05,8.89254e-05,1.82725e-05,0.000321226,0.00074128,0.000225339,6.20712e-08,0.0599602
Total,37.9416,30.1857,53.2747,0.538882,1.29127,1.23133,84.6052,0.00388501,6.90395,6.9935,34.7029,0.512051,0.557506,0.552009,8.56142,0.000826114,, , 1.82629,11.0806,0.990543,66.3248,24.208,34.7029,0.512051,1.2825,0.705391,0.339823,0.0643011,0.186405,1.4432,8.56142,0.000826114,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11617,0.0082007,1.51238,19.068,0.0203615,3.75509
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727643,0,0.111504,6.80285e-06,0.115896,0,1.23285,0.0010195,0.0183184,0,0.0876581,6.71335e-06,, , 0.067794,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134857,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.71335e-06,0.0585562
2,15.1245,15.182,11.3421,0.0108116,0.500709,0.504446,3.47523,0.00105909,3.68381,3.74131,9.61559,0.0104981,0.174883,0.17862,2.60678,6.57317e-05,, , 0.532504,6.59864,0.293982,15.1163,9.97854,9.61559,0.0104981,0.0155217,0.205398,0.129148,0.018958,0.00853657,0.640836,2.60678,6.57317e-05,0.920125
3,4.20636,4.23146,7.27466,0.0209228,0.173062,0.174744,2.83018,0.00106298,0.892172,0.917277,6.41649,0.0202958,0.0694198,0.0711019,1.10065,0.000131025,, , 0.231645,1.44982,0.127988,5.23262,3.22802,6.41649,0.0202958,0.0293457,0.0905054,0.0417726,0.00824368,0.00755516,0.204585,1.10065,0.000131025,1.73961
4,6.17594,6.23261,7.76769,0.0419348,0.276134,0.279494,5.6827,0.000873972,1.10195,1.15862,6.41687,0.0406807,0.133624,0.136983,2.22468,0.000211106,, , 0.46283,1.54823,0.249511,8.74862,4.69842,6.41687,0.0406807,0.0584488,0.177961,0.0761984,0.0164477,0.0118465,0.284231,2.22468,0.000211106,3.46485
5,1.53024,1.55109,7.03858,0.0691521,0.0879814,0.0890821,7.70974,0.000210796,0.274534,0.29539,5.50275,0.066644,0.0484255,0.0495261,0.795903,7.58508e-05,, , 0.171166,0.307138,0.0916197,6.2831,1.66068,5.50275,0.066644,0.116473,0.067861,0.024022,0.00606855,0.017688,0.0855392,0.795903,7.58508e-05,6.90454
6,2.44454,2.48856,8.44048,0.148905,0.150361,0.153,15.366,0.000421793,0.447807,0.491835,5.50311,0.143888,0.096352,0.0989912,1.53857,0.000303604,, , 0.349123,0.409594,0.180924,11.9572,2.76674,5.50311,0.143888,0.232886,0.136534,0.0467762,0.0120334,0.0313899,0.125166,1.53857,0.000303604,13.8055
7,0.470036,0.471178,9.57564,0.24556,0.0297217,0.0300184,49.3697,0.000249245,0.385798,0.38694,0.0131443,0.228476,0.016396,0.0166927,0.206947,3.2021e-05,, , 0.00995578,0.757676,0.00510665,12.0326,0.287429,0.0131443,0.228476,0.827824,0.0135729,0.0183357,0.00118017,0.107445,0.0520212,0.206947,3.2021e-05,49.0734
8,0.0286207,0.0287572,0.0180222,0.000569289,0.000539074,0.000545248,0.0602445,3.27238e-07,0.00198467,0.00212117,0.0020513,0.000548433,8.72209e-05,9.33945e-05,0.000225339,6.20712e-08,, , 0.00127212,0.00218914,0.000644581,0.0803593,0.0212412,0.0020513,0.000548433,0.00101147,7.34175e-05,8.89254e-05,1.82725e-05,0.000321226,0.00074128,0.000225339,6.20712e-08,0.0599602
Total,37.9416,30.1857,53.2747,0.538882,1.29127,1.23133,84.6052,0.00388501,6.90395,6.9935,34.7029,0.512051,0.557506,0.552009,8.56142,0.000826114,, , 1.82629,11.0806,0.990543,66.3248,24.208,34.7029,0.512051,1.2825,0.705391,0.339823,0.0643011,0.186405,1.4432,8.56142,0.000826114,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11617,0.0082007,1.51238,19.068,0.0203615,3.75509
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96341,0,1.81515,-11661.7,0.0886396,0,0.106323,3.17431e+248,0.117963,0,1.23048,-11661.7,0.0341937,0,0.0824774,3.17431e+248,, , 0.0698605,0.00733546,0.0407669,6.87397,1.56697,1.23048,-11661.7,0.000987789,0.0293964,0.00348139,0.00131584,0.00162304,0.0500789,0.0824774,3.17431e+248,0.0585562
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


