Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96133,0,1.81752,0.00102654,0.072763,0,0.111504,5.7781e-06,0.115885,0,1.23285,0.0010195,0.0183171,0,0.0876581,5.6886e-06,, , 0.0677829,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134844,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.6886e-06,0.0585562
2,15.1237,15.1812,11.342,0.0106438,0.500367,0.504176,3.47522,0.00157384,3.683,3.74051,9.61544,0.0103303,0.174542,0.17835,2.60677,9.79034e-05,, , 0.530891,6.59864,0.293982,15.1163,9.97854,9.61544,0.0103303,0.0155217,0.204801,0.129148,0.0189432,0.00853657,0.640836,2.60677,9.79034e-05,0.920125
3,4.20616,4.23127,7.27512,0.0216579,0.173724,0.175292,2.85431,0.00126343,0.891978,0.917082,6.41695,0.0210309,0.0700812,0.0716494,1.12478,0.000156082,, , 0.231256,1.44982,0.127988,5.23262,3.22802,6.41695,0.0210309,0.0293457,0.0916908,0.0417726,0.00826724,0.00755516,0.204585,1.12478,0.000156082,1.73961
4,6.17879,6.23546,7.76696,0.0425794,0.278457,0.282178,5.61029,0.00186853,1.1048,1.16147,6.41614,0.0413253,0.135947,0.139667,2.15227,0.000459745,, , 0.468535,1.54823,0.249511,8.74862,4.69842,6.41614,0.0413253,0.0584488,0.183043,0.0761984,0.0163731,0.0118465,0.284231,2.15227,0.000459745,3.46485
5,1.53181,1.55267,7.03807,0.0707839,0.0879608,0.0891869,7.692,0.000238177,0.276106,0.296962,5.50225,0.0682758,0.0484048,0.049631,0.778162,8.95413e-05,, , 0.17431,0.307138,0.0916197,6.2831,1.66068,5.50225,0.0682758,0.116473,0.0679712,0.024022,0.00604259,0.017688,0.0855392,0.778162,8.95413e-05,6.90454
6,2.44479,2.48882,8.43999,0.15492,0.150585,0.153466,15.3305,0.000516721,0.448066,0.492094,5.50262,0.149904,0.0965764,0.0994575,1.50307,0.000398532,, , 0.349641,0.409594,0.180924,11.9572,2.76674,5.50262,0.149904,0.232886,0.137274,0.0467762,0.0119834,0.0313899,0.125166,1.50307,0.000398532,13.8055
7,0.470075,0.471217,9.57558,0.309766,0.0297939,0.0301048,49.3662,0.000264878,0.385837,0.386979,0.013087,0.292682,0.0164682,0.0167791,0.203444,4.76537e-05,, , 0.0100326,0.757676,0.00510665,12.0326,0.287429,0.013087,0.292682,0.827824,0.0137344,0.0183357,0.00117724,0.107445,0.0520212,0.203444,4.76537e-05,49.0734
8,0.0286204,0.0287569,0.018098,0.000621029,0.000539401,0.000545282,0.0602488,3.3646e-07,0.00198433,0.00212084,0.00212708,0.000600174,8.75476e-05,9.34285e-05,0.000229629,7.12936e-08,, , 0.00127145,0.00218914,0.000644581,0.0803593,0.0212412,0.00212708,0.000600174,0.00101147,7.37176e-05,8.89254e-05,1.8333e-05,0.000321226,0.00074128,0.000229629,7.12936e-08,0.0599602
Total,37.9453,30.1894,53.2733,0.611999,1.29419,1.23495,84.5002,0.00573169,6.90766,6.99722,34.7015,0.585168,0.560424,0.555628,8.45639,0.00125522,, , 1.83372,11.0806,0.990543,66.3248,24.208,34.7015,0.585168,1.2825,0.712073,0.339823,0.0641564,0.186405,1.4432,8.45639,0.00125522,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11852,0.00819538,1.5114,19.2633,0.0203287,3.74905
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96133,0,1.81752,0.00102654,0.072763,0,0.111504,5.7781e-06,0.115885,0,1.23285,0.0010195,0.0183171,0,0.0876581,5.6886e-06,, , 0.0677829,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134844,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.6886e-06,0.0585562
2,15.1237,15.1812,11.342,0.0106438,0.500367,0.504176,3.47522,0.00157384,3.683,3.74051,9.61544,0.0103303,0.174542,0.17835,2.60677,9.79034e-05,, , 0.530891,6.59864,0.293982,15.1163,9.97854,9.61544,0.0103303,0.0155217,0.204801,0.129148,0.0189432,0.00853657,0.640836,2.60677,9.79034e-05,0.920125
3,4.20616,4.23127,7.27512,0.0216579,0.173724,0.175292,2.85431,0.00126343,0.891978,0.917082,6.41695,0.0210309,0.0700812,0.0716494,1.12478,0.000156082,, , 0.231256,1.44982,0.127988,5.23262,3.22802,6.41695,0.0210309,0.0293457,0.0916908,0.0417726,0.00826724,0.00755516,0.204585,1.12478,0.000156082,1.73961
4,6.17879,6.23546,7.76696,0.0425794,0.278457,0.282178,5.61029,0.00186853,1.1048,1.16147,6.41614,0.0413253,0.135947,0.139667,2.15227,0.000459745,, , 0.468535,1.54823,0.249511,8.74862,4.69842,6.41614,0.0413253,0.0584488,0.183043,0.0761984,0.0163731,0.0118465,0.284231,2.15227,0.000459745,3.46485
5,1.53181,1.55267,7.03807,0.0707839,0.0879608,0.0891869,7.692,0.000238177,0.276106,0.296962,5.50225,0.0682758,0.0484048,0.049631,0.778162,8.95413e-05,, , 0.17431,0.307138,0.0916197,6.2831,1.66068,5.50225,0.0682758,0.116473,0.0679712,0.024022,0.00604259,0.017688,0.0855392,0.778162,8.95413e-05,6.90454
6,2.44479,2.48882,8.43999,0.15492,0.150585,0.153466,15.3305,0.000516721,0.448066,0.492094,5.50262,0.149904,0.0965764,0.0994575,1.50307,0.000398532,, , 0.349641,0.409594,0.180924,11.9572,2.76674,5.50262,0.149904,0.232886,0.137274,0.0467762,0.0119834,0.0313899,0.125166,1.50307,0.000398532,13.8055
