Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96133,0,1.81752,0.00102654,0.0727631,0,0.111504,5.4339e-06,0.115887,0,1.23285,0.0010195,0.0183172,0,0.0876581,5.3444e-06,, , 0.0677844,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134845,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.3444e-06,0.0585562
2,15.1241,15.1816,11.3421,0.0107116,0.500124,0.503864,3.47523,0.00172616,3.6834,3.7409,9.61558,0.0103981,0.174298,0.178038,2.60678,0.000107423,, , 0.531679,6.59864,0.293982,15.1163,9.97854,9.61558,0.0103981,0.0155217,0.204231,0.129148,0.0189574,0.00853657,0.640836,2.60678,0.000107423,0.920125
3,4.20622,4.23133,7.27518,0.0215621,0.173837,0.175391,2.85431,0.00125088,0.892034,0.917139,6.41701,0.0209351,0.0701945,0.0717481,1.12478,0.000154513,, , 0.231369,1.44982,0.127988,5.23262,3.22802,6.41701,0.0209351,0.0293457,0.0918998,0.0417726,0.00827027,0.00755516,0.204585,1.12478,0.000154513,1.73961
4,6.18,6.23667,7.76679,0.0409571,0.278848,0.282655,5.61027,0.00066639,1.10601,1.16268,6.41597,0.0397031,0.136338,0.140144,2.15226,0.000159211,, , 0.470956,1.54823,0.249511,8.74862,4.69842,6.41597,0.0397031,0.0584488,0.183929,0.0761984,0.0163553,0.0118465,0.284231,2.15226,0.000159211,3.46485
5,1.53191,1.55276,7.03774,0.0749911,0.0879845,0.0892926,7.68312,0.000306518,0.276203,0.29706,5.50192,0.072483,0.0484286,0.0497367,0.769288,0.000123712,, , 0.174505,0.307138,0.0916197,6.2831,1.66068,5.50192,0.072483,0.116473,0.0681176,0.024022,0.00602564,0.017688,0.0855392,0.769288,0.000123712,6.90454
6,2.44621,2.49023,8.43991,0.134855,0.150671,0.153591,15.3305,0.000185513,0.449477,0.493504,5.50254,0.129839,0.0966617,0.0995825,1.50307,6.73236e-05,, , 0.352462,0.409594,0.180924,11.9572,2.76674,5.50254,0.129839,0.232886,0.137493,0.0467762,0.0119752,0.0313899,0.125166,1.50307,6.73236e-05,13.8055
7,0.470054,0.471196,9.57552,0.299984,0.0297873,0.0301143,49.3627,0.000258647,0.385816,0.386958,0.0130217,0.282899,0.0164616,0.0167886,0.199939,4.14222e-05,, , 0.00999106,0.757676,0.00510665,12.0326,0.287429,0.0130217,0.282899,0.827824,0.0137406,0.0183357,0.0011739,0.107445,0.0520212,0.199939,4.14222e-05,49.0734
8,0.028619,0.0287555,0.0180721,0.000608471,0.000539306,0.000545286,0.0602488,3.34977e-07,0.00198303,0.00211953,0.00210127,0.000587616,8.74526e-05,9.34332e-05,0.000229628,6.98103e-08,, , 0.00126884,0.00218914,0.000644581,0.0803593,0.0212412,0.00210127,0.000587616,0.00101147,7.3648e-05,8.89254e-05,1.83124e-05,0.000321226,0.00074128,0.000229628,6.98103e-08,0.0599602
Total,37.9485,30.1926,53.2728,0.584696,1.29455,1.23545,84.4878,0.00439987,6.91081,7.00037,34.701,0.557864,0.560787,0.556132,8.44401,0.000659018,, , 1.84002,11.0806,0.990543,66.3248,24.208,34.701,0.557864,1.2825,0.712969,0.339823,0.0641273,0.186405,1.4432,8.44401,0.000659018,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11884,0.00819682,1.51167,19.2877,0.0203376,3.75069
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96133,0,1.81752,0.00102654,0.0727631,0,0.111504,5.4339e-06,0.115887,0,1.23285,0.0010195,0.0183172,0,0.0876581,5.3444e-06,, , 0.0677844,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134845,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.3444e-06,0.0585562
2,15.1241,15.1816,11.3421,0.0107116,0.500124,0.503864,3.47523,0.00172616,3.6834,3.7409,9.61558,0.0103981,0.174298,0.178038,2.60678,0.000107423,, , 0.531679,6.59864,0.293982,15.1163,9.97854,9.61558,0.0103981,0.0155217,0.204231,0.129148,0.0189574,0.00853657,0.640836,2.60678,0.000107423,0.920125
3,4.20622,4.23133,7.27518,0.0215621,0.173837,0.175391,2.85431,0.00125088,0.892034,0.917139,6.41701,0.0209351,0.0701945,0.0717481,1.12478,0.000154513,, , 0.231369,1.44982,0.127988,5.23262,3.22802,6.41701,0.0209351,0.0293457,0.0918998,0.0417726,0.00827027,0.00755516,0.204585,1.12478,0.000154513,1.73961
4,6.18,6.23667,7.76679,0.0409571,0.278848,0.282655,5.61027,0.00066639,1.10601,1.16268,6.41597,0.0397031,0.136338,0.140144,2.15226,0.000159211,, , 0.470956,1.54823,0.249511,8.74862,4.69842,6.41597,0.0397031,0.0584488,0.183929,0.0761984,0.0163553,0.0118465,0.284231,2.15226,0.000159211,3.46485
5,1.53191,1.55276,7.03774,0.0749911,0.0879845,0.0892926,7.68312,0.000306518,0.276203,0.29706,5.50192,0.072483,0.0484286,0.0497367,0.769288,0.000123712,, , 0.174505,0.307138,0.0916197,6.2831,1.66068,5.50192,0.072483,0.116473,0.0681176,0.024022,0.00602564,0.017688,0.0855392,0.769288,0.000123712,6.90454
6,2.44621,2.49023,8.43991,0.134855,0.150671,0.153591,15.3305,0.000185513,0.449477,0.493504,5.50254,0.129839,0.0966617,0.0995825,1.50307,6.73236e-05,, , 0.352462,0.409594,0.180924,11.9572,2.76674,5.50254,0.129839,0.232886,0.137493,0.0467762,0.0119752,0.0313899,0.125166,1.50307,6.73236e-05,13.8055
7,0.470054,0.471196,9.57552,0.299984,0.0297873,0.0301143,49.3627,0.000258647,0.385816,0.386958,0.0130217,0.282899,0.0164616,0.0167886,0.199939,4.14222e-05,, , 0.00999106,0.757676,0.00510665,12.0326,0.287429,0.0130217,0.282899,0.827824,0.0137406,0.0183357,0.0011739,0.107445,0.0520212,0.199939,4.14222e-05,49.0734
8,0.028619,0.0287555,0.0180721,0.000608471,0.000539306,0.000545286,0.0602488,3.34977e-07,0.00198303,0.00211953,0.00210127,0.000587616,8.74526e-05,9.34332e-05,0.000229628,6.98103e-08,, , 0.00126884,0.00218914,0.000644581,0.0803593,0.0212412,0.00210127,0.000587616,0.00101147,7.3648e-05,8.89254e-05,1.83124e-05,0.000321226,0.00074128,0.000229628,6.98103e-08,0.0599602
