   0.52253,  -0.40416,  -0.27734,   0.66442,  -0.04411,  -0.08711
   0.18079,  -0.47632,  -0.38478,   0.60987,  -0.51690,  -0.49063
  -0.10518,  -0.27639,  -0.61306,   0.75318,  -0.63672,  -0.22473
  -0.43934,  -0.53303,  -0.48603,   0.72965,  -0.10579,  -0.05548
  -0.32693,  -0.49430,  -0.42729,   0.51084,  -0.57560,  -0.28786
   0.85240,  -0.60307,  -0.06737,  -0.25938,  -0.37939,  -0.21121
   0.37059,  -0.47941,  -0.15477,   0.64179,  -0.26451,  -0.32217
  -0.25215,  -0.30332,  -0.22711,   0.59318,  -0.47576,   0.27868
  -0.30242,  -0.38551,  -0.09721,   0.65818,  -0.49381,  -0.40571
  -0.32328,  -0.38537,  -0.15354,   0.74967,   0.62673,  -0.28777
   0.66404,  -0.27706,  -0.12826,   0.11046,  -0.49144,  -0.05085
   0.73144,  -0.55934,  -0.11306,  -0.21140,  -0.48316,  -0.05125
  -0.34725,  -0.23568,  -0.39094,   0.71844,  -0.31120,  -0.15919
  -0.36003,  -0.02993,  -0.43141,  -0.45451,  -0.62581,   0.10733
  -0.09758,  -0.00288,  -0.03444,   0.71454,  -0.46171,   0.00631
   0.58335,  -0.27307,  -0.48021,  -0.47775,  -0.27461,  -0.03561
   0.26486,  -0.08309,  -0.53277,  -0.39044,  -0.42910,   0.28814
  -0.10921,   0.23222,  -0.50653,  -0.27345,  -0.40910,  -0.30282
  -0.33710,   0.56137,  -0.50557,  -0.15494,  -0.42841,   0.17146
  -0.34621,  -0.50282,  -0.57865,  -0.11676,  -0.00255,   0.06311
   0.27969,  -0.26831,  -0.28681,  -0.37336,  -0.64152,  -0.28982
   0.26714,  -0.15974,  -0.19743,  -0.02564,  -0.60378,  -0.25817
  -0.05507,  -0.69583,  -0.35951,  -0.21222,  -0.14452,   0.15482
  -0.07566,  -0.29798,  -0.60406,  -0.46655,  -0.45038,  -0.30480
  -0.23226,  -0.66876,  -0.34543,  -0.33973,   0.77494,  -0.22040
   0.77434,  -0.66217,  -0.17624,  -0.23033,  -0.30967,   0.41185
   0.00967,  -0.37139,   0.07186,  -0.51095,   0.22198,   0.72949
  -0.31182,  -0.54709,  -0.19281,   0.21122,   0.23161,   0.65463
  -0.46850,   0.01503,  -0.23020,   0.43870,   0.01980,   0.47456
  -0.39479,  -0.62068,  -0.54935,   0.20329,  -0.61936,  -0.06627
  -0.02005,  -0.61645,  -0.04383,  -0.04848,  -0.57889,   0.22338
   0.64276,   0.01928,   0.76573,  -0.38866,  -0.02802,   0.73567
  -0.25104,   0.11356,   0.76532,  -0.08978,  -0.46305,   0.34220
  -0.32914,  -0.38102,   0.66059,  -0.45733,  -0.48086,   0.67447
  -0.46724,   0.39270,   0.49127,  -0.26589,  -0.56690,   0.79549
   0.37701,   0.48379,   0.33893,  -0.27125,   0.75855,   0.49846
   0.47637,  -0.08257,   0.71699,  -0.49146,   0.04431,   0.42459
  -0.50524,   0.52660,   0.51948,  -0.43157,  -0.01903,   0.35620
  -0.43504,   0.18286,   0.51812,  -0.44989,  -0.41888,   0.61377
  -0.48831,  -0.08930,   0.50119,  -0.39729,  -0.34024,   0.67917
